iter	RMSE
0	279168.8791
1	264278.9912
2	249857.9164
3	237380.1311
4	225614.7645
5	214445.7959
6	204685.6868
7	195669.6179
8	187698.9638
9	180025.0934
10	173174.778
11	167141.1333
12	161908.0083
13	156654.8316
14	152131.3852
15	147832.435
16	144173.4109
17	141029.9045
18	137762.157
19	135144.6127
20	132689.3327
21	130311.6787
22	128119.6358
23	126217.5959
24	124320.5702
25	122730.3409
26	121367.6617
27	120088.2815
28	118744.21
29	117583.843
30	116732.5415
31	115755.1708
32	115309.24
33	114673.8555
34	113888.2749
35	113322.1406
36	112770.5234
37	112075.9604
38	111573.8335
39	111061.7876
40	110594.2134
41	110187.898
42	109840.619
43	109542.9945
44	109361.6906
45	109107.6364
46	108888.4307
47	108527.0535
48	108260.6012
49	107764.64
50	107708.0194
51	107643.0772
52	107428.7151
53	107130.7108
54	106962.1589
55	106614.8788
56	106528.3117
57	106430.9605
58	106141.3731
59	105980.7205
60	105806.5863
61	105497.9952
62	105349.6298
63	105241.5078
64	104955.7834
65	104865.8686
66	104634.3836
67	104600.0507
68	104465.0575
69	104249.2366
70	104079.2475
71	104028.7891
72	103928.689
73	103846.5238
74	103632.5924
75	103512.9863
76	103316.1009
77	103094.2408
78	102951.2943
79	102918.6076
80	102820.0811
81	102609.8572
82	102580.3383
83	102511.0804
84	102234.7882
85	102145.9995
86	102096.8541
87	102060.6588
88	101903.9861
89	101624.45
90	101527.291
91	101451.0519
92	101151.6149
93	101097.9754
94	100945.4759
95	100825.5128
96	100657.8271
97	100535.9943
98	100322.2541
99	100136.2377
100	99992.48095
101	99815.58445
102	99586.85082
103	99518.89242
104	99419.05724
105	99370.18352
106	99220.16883
107	99190.8598
108	99108.72815
109	99062.96708
110	99052.30269
111	98934.92669
112	98815.69123
113	98652.94104
114	98452.39518
115	98178.68746
116	97893.51142
117	97773.283
118	97477.55112
119	97345.84005
120	97170.23311
121	97064.60472
122	96906.33095
123	96734.91173
124	96546.91072
125	96426.03157
126	96330.5743
127	96093.14182
128	96009.12769
129	95741.37774
130	95612.67128
131	95420.56945
132	95272.79362
133	95107.56208
134	94746.15261
135	94598.05989
136	94484.69761
137	94381.64677
