iter	Passed	Remaining
0	3	509
1	6	480
2	8	473
3	11	462
4	14	458
5	17	454
6	20	453
7	22	439
8	28	479
9	30	464
10	33	455
11	35	444
12	58	663
13	63	661
14	65	637
15	71	652
16	74	633
17	92	737
18	101	760
19	104	735
20	129	862
21	132	836
22	137	823
23	144	825
24	147	803
25	150	780
26	152	759
27	155	737
28	157	717
29	161	703
30	163	685
31	165	668
32	166	646
33	168	630
34	171	615
35	173	602
36	175	588
37	178	578
38	181	567
39	183	555
40	186	544
41	188	533
42	190	522
43	192	512
44	194	500
45	196	490
46	198	482
47	201	474
48	203	465
49	206	459
50	207	447
51	208	436
52	210	429
53	213	422
54	215	414
55	217	407
56	219	399
57	221	393
58	223	387
59	226	380
60	228	374
61	230	368
62	232	362
63	235	356
64	237	350
65	239	344
66	241	339
67	242	332
68	245	326
69	247	321
70	249	316
71	250	309
72	253	305
73	255	300
74	257	295
75	260	291
76	262	286
77	264	281
78	266	276
79	267	270
80	269	266
81	272	262
82	273	256
83	275	252
84	278	248
85	280	244
86	281	239
87	282	233
88	284	230
89	286	226
90	288	222
91	291	218
92	293	214
93	296	211
94	298	207
95	301	203
96	303	200
97	305	196
98	308	193
99	310	189
100	312	185
101	315	182
102	317	178
103	319	175
104	321	171
105	324	168
106	326	164
107	327	160
108	330	157
109	331	153
110	332	149
111	334	146
112	336	142
113	338	139
114	340	136
115	343	133
116	345	130
117	348	126
118	350	123
119	353	120
120	355	117
121	358	114
122	360	111
123	362	108
124	365	105
125	367	102
126	369	98
127	372	95
128	374	92
129	376	89
130	378	86
131	381	83
132	383	80
133	386	77
134	388	74
135	390	71
136	393	68
137	395	65
